,note,group
0,Cashmeran,synthetic
1,Pitosporum,woody
2,Hellebore flower,floral
3,Styrax,balsamic
4,Bubble gum,sweet
5,Elemi,balsamic
6,Lady of the night flower,floral
7,Kulfi,sweet
8,Madeira,beverage
9,Neem tree,woody
10,Skin,animal
11,Apple pulp,fruit
12,Blue lotus,floral
13,Silk,synthetic
14,Honeysuckle,white_floral
15,Turkish coffee beans,spicy
16,Clary sage,green
17,White sandalwood,woody
18,Fir resin,balsamic
19,Bourbon rose,floral
20,Caramel,sweet
21,Agarwood (oud),woody
22,Pink peony,floral
23,Blood mandarin,fruit
24,Californian lemon,citrus
25,White mimosa honey,Floral
26,Cedar needles,green
27,Iris,floral
28,Custard,sweet
29,Black vanilla husk,spicy
30,Tamarisk,floral
31,Iced tea,green
32,Lady slipper orchid,floral
33,Lemon verbena,citrus
34,Rye,green
35,Dried fruits,fruit
36,Wallflower,floral
37,Blue lavender,floral
38,Spanish jasmine,white_floral
39,Egyptian tuberose,white_floral
40,Nutmeg,spicy
41,African ginger,spicy
42,Wisteria flower,floral
43,Mahoganywood,woody
44,Red peony,floral
45,Floral notes,floral
46,Guao or maiden plum,green
47,Hibiscus,floral
48,White willow,woody
49,Sour cherry blossom,floral
50,Loukhoum,sweet
51,Soybean,fruit
52,Boxwood,woody
53,Hungarian oakmoss,woody
54,Marigold,green
55,White nerium oleander,floral
56,Rum,beverage
57,French hyacinth,floral
58,White peach blossom,floral
59,Hedione,synthetic
60,Chinese apricot,fruit
61,Red tea,green
62,Red willow,woody
63,Vanila,spicy
64,Rice,green
65,Leather,animal
66,Leather,animal
67,St. Johns wort,floral
68,Rumex,green
69,Green pepper,green
70,Bourbon vanilla,spicy
71,Darjeeling black tea,green
72,Stephanotis,white_floral
73,Teak wood,woody
74,Toffee,sweet
75,Tonka bean,spicy
76,China rose,floral
77,Varnish accord,synthetic
78,Co2 extracts,synthetic
79,Brazilian rosewood,woody
80,Walnut,fruit
81,Coal tar,balsamic
82,Mopane,balsamic
83,Cassia bourbon,beverage
84,Bergamot leaf,citrus
85,Madagascar ylang-ylang,floral
86,Fig nectar,sweet
87,Forget me not,floral
88,Jabuticaba,fruit
89,Tokaji wine,beverage
90,Cypriol oil or nagarmotha,woody
91,Carob tree,woody
92,Grapefruit blossom,white_floral
93,Fig tree,woody
94,Lily of the valley leaves,white_floral
95,Rosebay willowherb,floral
96,Ebony wood,woody
97,Egyptian rosewood,woody
98,Buchu or agathosma,green
99,Chinese litchi,fruit
100,Iris petals,white_floral
101,Birch,woody
102,Wild orange,citrus
103,Labdanum,balsamic
104,Sake,beverage
105,Cornflower or sultan seeds,fruit
106,Kadam,floral
107,Bergamot blossom,floral
108,Sycamore,woody
109,Precious woods,woody
110,Mock orange,white_floral
111,Vanilla,spicy
112,Cobblestone,synthetic
113,Barley,green
114,Black iris,fruit
115,Takamaka,woody
116,Bergamot,citrus
117,Carnation,floral
118,Heliotrope,floral
119,Cannonball flower,floral
120,Grapes,fruit
121,Green orchid,floral
122,Mandarin leaf,green
123,Costus,floral
124,Massoia,woody
125,Coconut pie,sweet
126,White tea,green
127,Coumarin,synthetic
128,Spicy notes,spicy
129,Watermelon,fruit
130,Bourbon vetiver,woody
131,Pineapple,fruit
132,Pink litchi,fruit
